Alex Rodriguez, None, 50, 350000000
Bill Gates, ['businessman', 'philanthropist', 'computerprogrammer'], 70, 350000000
Blake Shelton, ['singer', 'songwriter', 'televisionpersonality'], 49, 350000000
Dan Bilzerian, ['influencer', 'businessman', 'pokerplayer'], 45, 350000000
David Geffen, ['entrepreneur', 'recordexecutive', 'filmproducer'], 82, 350000000
Donald Trump, ['politicalcareerofdonaldtrump', 'politician', 'businesscareerofdonaldtrump'], 79, 350000000
Phil McGraw, ['', 'televisionhost', 'author'], 75, 350000000
Drake (musician), ['rapper', 'singer', 'songwriter'], 39, 350000000
Elon Musk, ['donotaddanyofmusksselfappointedtitleswithoutfirstreachingaconsensusonthetalkpage', '', 'ceoandproductarchitectofteslainc'], 54, 350000000
Elton John, ['', 'singer', 'composer'], 78, 350000000
Eric Schmidt, [], 70, 350000000
Floyd Mayweather, None, 48, 350000000
George Lucas, ['filmdirector', 'producer', 'screenwriter'], 81, 350000000
Harrison Ford, [], 83, 350000000
Jay-Z, ['', 'rapper', 'songwriter'], 56, 350000000
Jeff Bezos, ['businessman', 'mediaproprietor', 'investor'], 61, 350000000
Jerry Jones, None, 83, 350000000
Jim Carrey, ['actor', 'comedian'], 63, 350000000
Judy Sheindlin, ['author', 'courtshowarbitrator', 'judge'], 83, 350000000
Kenny Chesney, ['', 'singer', 'musician'], 57, 350000000
Kid Rock, ['', 'musician', 'singer'], 54, 350000000
Kim Kardashian, ['mediapersonality', 'socialite', 'businesswoman'], 45, 350000000
Kylie Jenner, ['mediapersonality', 'socialite', 'businesswoman'], 28, 350000000
Lady Gaga, ['', 'singer', 'songwriter'], 39, 350000000
Larry Ellison, ['businessman', 'investor'], 81, 350000000
Luke Bryan, ['', 'singer', 'songwriter'], 49, 350000000
Magic Johnson, None, 66, 350000000
Mark Cuban, ['', 'businessman', 'investor'], 67, 350000000
Marc Benioff, None, 61, 350000000
Mark Wahlberg, ['actor', 'producer', 'businessman'], 54, 350000000
Mark Zuckerberg, ['businessman', 'computerprogrammer'], 41, 350000000
Matt Damon, ['actor', 'filmproducer', 'screenwriter'], 55, 350000000
Michael Bloomberg, ['politician', 'philanthropist', 'author'], 83, 350000000
Michael Jordan, None, 62, 350000000
Phil Knight, [], 87, 350000000
Oprah Winfrey, ['televisionpresenter', 'actress', 'televisionproducer'], 71, 350000000
P. Diddy, ['rapper', 'songwriter', 'recordproducer'], 56, 350000000
Peter Thiel, ['businessman', 'entrepreneur', 'venturecapitalist'], 58, 350000000
Phil Mickelson, None, 55, 350000000
Ron DeSantis, None, 47, 350000000
Ronald Perelman, ['banker', 'businessman', 'investor'], 82, 350000000
Rupert Murdoch, ['businessman', 'investor', 'mediaproprietor'], 94, 350000000
Sergey Brin, ['computerscientist', 'businessman'], 52, 350000000
Steve Ballmer, ['businessman', 'investor'], 69, 350000000
Steve Wynn, ['ceoofmirageresortsbrformerceoofwynnresortsbrformerrepublicannationalcommitteefinancechairman'], 83, 350000000
Steven Spielberg, ['filmdirector', 'producer', 'screenwriter'], 79, 350000000
Taylor Swift, ['', 'singersongwriter', ''], 36, 350000000
Tommy Hilfiger, [], 74, 350000000
Tiger Woods, None, 50, 350000000
Tom Cruise, ['actor', 'producer'], 63, 350000000
Travis Scott, ['', 'rapper', 'singer'], 34, 350000000
Tyler Perry, ['actor', 'filmproducer', 'director'], 56, 350000000
